DisplayName,AppId,ServicePrincipalType,AccountEnabled,PublisherName,Homepage
OneDrive for Business Connector,1790e98a-abdc-5445-bb99-521ef603ac20,Application,True,,
IC3 Tenant Provisioning,209a774e-fca9-5cdc-9efd-9da0af1cba61,Application,True,,
Standard Approvals Connector,43f71f7f-a1cb-59f2-846d-e2c8fa641765,Application,True,,
Office 365 Management APIs,87c0f17a-447e-5f46-9563-f88c9ab5f30f,Application,True,,
Microsoft Approval Management,988c43c7-cbd8-5d76-8c87-9fec392f1b2e,Application,True,,
Office365 Shell WCSS-Server Default,019793b3-58bc-5c36-89cd-c412982d3b3c,Application,True,,
SharePoint Online Web Client Extensibility,fea99b50-f3b6-5129-93a1-841fc2067a8b,Application,True,,
Azure Signup Api,2be7f826-8739-5217-b7c2-4518bc7e1d72,Application,True,,
Customer Service Trial PVA - readonly,327b62e1-cd3b-55d6-8e29-a719e59020ee,Application,True,,
IpLicensingService,c6c8496d-e2db-5e49-82f1-fdcd82ac78c4,Application,True,,
CloudLicensingSystem,9714e853-b0bb-5542-9b22-a7885256d57e,Application,True,,
Office Shredding Service,db7a0122-1766-57e1-98dc-8ca28caa38d2,Application,True,,
Marketplace Catalog,1404e7b4-1d6b-5a6e-9487-fcd9b213159b,Application,True,,
PushChannel,884ea8af-ce28-5719-8370-04d18b40ac90,Application,True,,
OCaaS Worker Services,dcf73a18-6a54-521f-88cb-c952612db2e3,Application,True,,
Azure AD Identity Protection,197e3a6f-2ed1-5878-ab99-ccd2e8cde9ef,Application,True,,
Conferencing Virtual Assistant,92c86b4b-668d-56ed-b540-168f35878c24,Application,True,,
o365.servicecommunications.microsoft.com,fcce9792-30c1-5f57-a079-6cb8a2dd41b5,Application,True,,
Microsoft Teams Services,cd8b8b1c-f896-5223-b5be-4b373f520d6a,Application,True,,
PowerPlatform-a365memcp-Connector,d4603b78-d140-5123-851c-89a38ac03999,Application,True,,
M365PurvieweDiscoveryService,319102ee-c5c6-5461-a26d-a14e816a039a,Application,True,,
MCAPI Authorization Prod,7dac8445-5053-5ea6-86bc-a81d0ccc9756,Application,True,,
Common Data Service License Management,1e405ade-2379-59e3-910f-15c7e067199e,Application,True,,
Microsoft 365 Security and Compliance Center,42ebfa28-5a25-5ca7-ba80-a8c9a094c327,Application,True,,
Microsoft Teams UIS,88013f94-1f2f-584d-9fee-da0ca67e2063,Application,True,,
M365 Compliance Drive,22b7d9f0-25dc-51e7-af8f-d6c2ad874bcb,Application,True,,
Microsoft Teams Connector,ec9352f7-c0cb-5c21-b3e7-ddd4606264eb,Application,True,,
SPAuthEvent,03b624c9-4428-5872-8489-8772cbc37dde,Application,True,,
Azure MFA StrongAuthenticationService,5a220e63-dad3-5225-8b0f-0ffd8c253480,Application,True,,
Centralized Deployment,0931945d-c4e5-5259-83e1-65b4b1a1d991,Application,True,,
Azure Resource Manager,440f61a8-3666-5f5a-9518-a06102ddbc4e,Application,True,,
Office 365 Information Protection,4bef0943-cbd8-5d03-8bc3-36569006a474,Application,True,,
DeploymentScheduler,77d0e755-74ab-59f8-814d-19380a809458,Application,True,,
MCAPI AAD Bridge Service,161cd2ed-90fa-58e7-908f-07cba981c9b1,Application,True,,
Microsoft AppPlat EMA,97d9b65e-dd5d-53f5-9196-3fd1a865bcbc,Application,True,,
Microsoft Rights Management Services Default,16798e89-a419-57ab-bef9-cb14f8b173f8,Application,True,,
Microsoft SharePoint Online - SharePoint Home,aa5f0d1d-52b9-5787-9b9c-f5432deb761f,Application,True,,
SharePoint Notification Service,66a0f732-f7c4-5842-af4e-30cef4793241,Application,True,,
Virtual Visits App,a140fac7-e7c4-52de-8907-9de51267daac,Application,True,,
Microsoft password reset service,bbd1896a-a1a2-5864-a519-d2b0a610b2df,Application,True,,
Microsoft Intune Advanced Threat Protection Integration,7b427822-8df4-5052-8600-54a10d168d28,Application,True,,
Skype Teams Calling API Service,686ffa9a-c612-51d6-a1e9-99c5c2e348d1,Application,True,,
Azure Multi-Factor Auth Connector,d672031a-f698-5c16-a06b-2dfc77ca008d,Application,True,,
IC3 Long Running Operations Service,affc2229-6986-5c57-af34-65005b1c2993,Application,True,,
IPSubstrate,d0dd46ba-ca17-5e32-9806-f340f1dc7d6d,Application,True,,
Microsoft Teams Graph Service,9f2bac56-46c2-517b-a7bf-30e274eb6580,Application,True,,
Microsoft Defender for Identity,ae768847-dc84-5e69-a3a3-df87431d1579,Application,True,,
Billing RP,2ec77280-781d-53ed-b4fa-3216f7f22d68,Application,True,,
Data Classification Service,b9bed94d-c212-56aa-82d1-b7b5fcb80403,Application,True,,
Microsoft.Defender.Incident,eb3a7720-0117-57fb-8321-96f0bc00c35b,Application,True,,
Intune CMDeviceService,7da8611c-1b99-521d-92c2-f8c592b2a15b,Application,True,,
Microsoft Defender for Cloud Apps - Customer Experience,03eaa943-fa6a-54c6-be9e-784ce65c91ae,Application,True,,
Microsoft.SMIT,ea5cb74a-cd54-509e-b58b-2ca2ce9d9185,Application,True,,
Microsoft Mobile Application Management,8f99aaba-f56c-5af9-bc66-230a5242b5b5,Application,True,,
MIP Exchange Solutions - Teams,ee590a7b-02ef-5019-8c36-6e9f869671d1,Application,True,,
M365 License Manager,4b4aebf6-ab6f-5fa1-9cbb-65db037a11cb,Application,True,,
Microsoft Device Management Checkin,9d6baeff-0ffe-5591-a1f0-03201dcad281,Application,True,,
Microsoft Insider Risk Management,dbcc2be1-816d-53dd-83ab-98e771d98c95,Application,True,,
CompliancePolicy,6551df6f-ae89-5143-adad-e932c9988587,Application,True,,
O365 Demeter,b3d0a94d-3fa9-5e6a-ac73-58c83b2de2f8,Application,True,,
Microsoft PrivateStore,603aca3a-0ed9-52b3-a788-7d237e6d78ad,Application,True,,
Verifiable Credentials Service Admin,004f7181-1d64-50dc-8248-30328e51849a,Application,True,,
Messaging Bot API Application,7f1330aa-661e-54c7-9cb5-0452bc202324,Application,True,,
Microsoft Teams AuditService,b91d99ed-60d1-5cd7-925c-39ea82e7a83f,Application,True,,
OMSAuthorizationServicePROD,366b7708-d344-5ad2-add1-a97ef200e9a0,Application,True,,
Microsoft Intune AAD BitLocker Recovery Key Integration,4c5eaf0d-78d4-5047-9fb9-50732a282e32,Application,True,,
Office Hive,77acea09-9f85-5d2e-b707-a4dada02388a,Application,True,,
MIP Exchange Solutions,b05be754-6df0-52e5-b4b6-3239bc914867,Application,True,,
Viva Engage,a7873190-436a-5a8c-b3ac-512b35f13c66,Application,True,,
Office 365 Reports,d5a225b9-e7ee-5a39-aa3e-7a97928be4eb,Application,True,,
Bing,287c27f6-f848-5da0-b0c1-30a5600caf9a,Application,True,,
Microsoft Graph,43349f59-b8c2-597a-a6a5-f5b5e401908f,Application,True,,
Power Platform Authorization Service PROD,aaab9da1-e953-5154-a180-08d348b8ae10,Application,True,,
AWS Single-Account Access,cbbfb407-94e2-5d59-bdc4-714b35724e8c,Application,True,,https://signin.aws.amazon.com/saml?metadata=aws|ISV9.1|primary|z
Dynamics Lifecycle services,5b1d4c57-8419-51af-92a6-755b41b272af,Application,True,,
AADReporting,b9bcfe4b-d294-529b-8406-05f8661340c8,Application,True,,
Azure ESTS Service,d0c065b5-4076-5247-aa7c-69146d3318b1,Application,True,,
Microsoft Teams AadSync,b6ac3b64-72d6-5378-942b-5e6a931255dd,Application,True,,
Intune DeviceDirectory ConfidentialClient,22244e5d-917f-5e78-ac78-c6f1eddf7579,Application,True,,
Graph Connector Service,f6e22033-a036-5071-b8ae-a10273a3ae9d,Application,True,,
Office365DirectorySynchronizationService,7c39d857-3ffc-56f1-94ae-2849e45412d8,Application,True,,
Modern Workplace Customer APIs,305484ad-d79f-5973-a775-0aa51c3048fa,Application,True,,
My Apps,9246a252-c904-569b-840f-8d5cb75b2e58,Application,True,,
Microsoft Flow Service,c8eaf262-5ac9-5081-9710-7f8db76dc83b,Application,True,,
Azure Advanced Threat Protection,6a5c0bef-9325-5850-bc0c-e651c408c4fd,Application,True,,
Microsoft To-Do,61a73c8b-0b47-5bbf-ad60-388a399415c6,Application,True,,
Group Configuration Processor,9a5ae645-2c5e-5c53-bc47-2e42b282ad00,Application,True,,
Microsoft Azure Workflow,2117f0eb-b0e6-50f5-be7f-68c03f9648b7,Application,True,,
