"DisplayName","Description","Id"
"Azure AD Joined Device Local Administrator","Users assigned to this role are added to the local administrators group on Microsoft Entra joined devices.","065009a1-8d9a-4f7f-8883-a7db212a13cd"
"Teams Administrator","Can manage the Microsoft Teams service.","07dd9c56-ce53-4325-93b7-c541d2c5f01f"
"Global Reader","Can read everything that a Global Administrator can, but not update anything.","1d214873-ad1a-49f3-b5a4-a3b0f33804d4"
"Billing Administrator","Can perform common billing related tasks like updating payment information.","234a2308-40cc-426a-b742-bf4f85668a19"
"Security Reader","Can read security information and reports in Microsoft Entra ID and Office 365.","3f434748-8d91-4345-b0fe-6c759639f9b2"
"User Administrator","Can manage all aspects of users and groups, including resetting passwords for limited admins.","581a28c7-38a2-4de1-9fa8-ce7cefb35b1e"
"Exchange Administrator","Can manage all aspects of the Exchange product.","76763625-c5a0-4e0e-8b94-a905ef4ef8fa"
"Helpdesk Administrator","Can reset passwords for non-administrators and Helpdesk Administrators.","78536963-3bf9-4063-be63-85fc49f4a6f5"
"Global Administrator","Can manage all aspects of Microsoft Entra ID and Microsoft services that use Microsoft Entra identities.","891d1939-c9a1-4b78-b3ab-b2a1abf9e303"
"Service Support Administrator","Can read service health information and manage support tickets.","c39a32aa-b7f8-46ef-8b23-0c9b5d2675a7"
"SharePoint Administrator","Can manage all aspects of the SharePoint service.","df46fdee-b078-4c3b-b460-79cf5cc09d2b"
